Date,BND,BND,BND,BND,BND
2015-01-02,62.57311248779297,62.603396598388215,62.39898029589616,62.406552767570844,2218800
2015-01-05,62.754817962646484,62.77752960395109,62.610969866245156,62.641253980019336,5820100
2015-01-06,62.93655776977539,63.12582927178782,62.860850324191986,62.860850324191986,3887600
2015-01-07,62.97438430786133,63.050091717291444,62.87596525321268,62.94410018886826,2433400
2015-01-08,62.87599182128906,62.92141513091961,62.815423557709984,62.92141513091961,1873400
2015-01-09,62.98198318481445,63.057690625982495,62.83813500331992,62.84570748026898,1646100
2015-01-12,63.06521987915039,63.0879315183239,62.9895067137673,63.027363296458844,4397900
2015-01-13,63.12580490112305,63.19394561911685,63.012246664642724,63.07280913206369,2223400
2015-01-14,63.26966857910156,63.38323261958708,63.254529402553445,63.322664361180536,2481200
2015-01-15,63.54975891113281,63.564898079692995,63.254496027325445,63.254496027325445,4214500
2015-01-16,63.360469818115234,63.48160046103695,63.27718997406177,63.45131635628093,3631300
2015-01-20,63.292396545410156,63.46652888918433,63.269684886680594,63.3681039998782,3029500
2015-01-21,63.171226501464844,63.443777788998105,63.1636540278931,63.43620531542637,2473900
2015-01-22,63.18634796142578,63.3150510955453,63.118213046693086,63.3150510955453,2157400
2015-01-23,63.390804290771484,63.42108264348315,63.299951904315606,63.32266355690283,6255000
2015-01-26,63.315067291259766,63.40591964357963,63.27721647653841,63.39078047291205,7810500
2015-01-27,63.352909088134766,63.511896335489794,63.31505250614876,63.489184696739564,1154100
2015-01-28,63.580055236816406,63.66332934404866,63.30750394154964,63.32264311301775,1394600
2015-01-29,63.51191711425781,63.57248535480975,63.413498055439916,63.549773708629104,1551300
2015-01-30,63.86014175415039,63.8601417541504,63.678442905563955,63.746577807745524,10474400
2015-02-02,63.78432083129883,63.86018113835254,63.65535773053048,63.68569722313562,6070500
2015-02-03,63.58704376220703,63.7160067906916,63.54911073605642,63.67049178952462,1237200
2015-02-04,63.60985565185547,63.617443421126886,63.389856645161466,63.45813499305994,2945700
2015-02-05,63.4732780456543,63.541556364833504,63.42776302471463,63.48845357781399,2128200
2015-02-06,63.063636779785156,63.28363573331416,63.04846703268038,63.25329045133388,2907700
2015-02-09,63.04085159301758,63.184990172210604,63.01050632435756,63.169814643996496,1384600
2015-02-10,62.927066802978516,62.99534511365067,62.88913955284419,62.96499984088182,1447900
2015-02-11,62.927066802978516,63.002932878785124,62.88155178770974,62.96499984088182,1904000
2015-02-12,62.95744705200195,63.04089515153396,62.93468953172454,62.95744705200195,4662900
2015-02-13,62.81328201293945,62.987760104282664,62.81328201293945,62.987760104282664,1883000
2015-02-17,62.56295394897461,62.81329818389344,62.54019643448576,62.798122649053724,5281500
2015-02-18,62.737403869628906,62.82843967441247,62.57809555208376,62.653955828852666,3813000
2015-02-19,62.684326171875,62.820877039788876,62.66156865851776,62.767774246031834,1322700
2015-02-20,62.69948196411133,62.87396003676015,62.60844615157588,62.775342247339886,3145800
2015-02-23,62.82842254638672,62.88152530442511,62.77531978834832,62.81325281027569,3952700
2015-02-24,63.08636474609375,63.13187974968489,62.72222735406211,62.828432887619776,2542200
2015-02-25,63.14704132080078,63.162216845213344,63.02566606433401,63.07876882424449,4934600
2015-02-26,62.97259521484375,63.14707331963517,62.965007448792484,63.07121302243152,2187500
2015-02-27,63.025699615478516,63.048457126445356,62.91190627287445,62.98776657202055,4094400
2015-03-02,62.82199478149414,63.0880274724661,62.806789599679895,63.057622907915345,2476100
2015-03-03,62.74597930908203,62.86759175471654,62.73077412895453,62.806782632360736,2648100
2015-03-04,62.74597930908203,62.82959040255198,62.71557474790413,62.78398066124659,1425400
2015-03-05,62.784019470214844,62.84482863015889,62.708010919825135,62.761217485006,1340800
2015-03-06,62.419124603271484,62.56353899012351,62.35071290501451,62.56353899012351,1580000
2015-03-09,62.49518585205078,62.55599501315558,62.464781271498374,62.54078982333899,1982300
2015-03-10,62.7383918762207,62.74599446812119,62.65478076255083,62.66998014727331,3766100
2015-03-11,62.80680465698242,62.85241441428191,62.7155967405417,62.73839871965188,4829700
2015-03-12,62.85240936279297,63.004426410695885,62.82200479339666,62.989227025537055,8421500
2015-03-13,62.79158401489258,62.91319646200596,62.76878204350113,62.79158401489258,2114500
2015-03-16,62.9132080078125,62.98922232517029,62.83719948953293,62.951215166491394,1203700
2015-03-17,62.96641540527344,62.96641540527344,62.890406885962065,62.920811453502274,1471300
2015-03-18,63.354087829589844,63.354087829589844,62.91323014970194,63.034848461014576,5534300
2015-03-19,63.16401290893555,63.331235053335476,63.12601156643822,63.31603567615167,1208100
2015-03-20,63.331275939941406,63.33887853297934,63.202060853693276,63.202060853693276,1011200
2015-03-23,63.361656188964844,63.3692587790842,63.25524312360232,63.36165618896484,1572700
2015-03-24,63.46812438964844,63.50613157418529,63.338909240754624,63.399718416380715,2300500
2015-03-25,63.3692626953125,63.54408168532171,63.35405751413409,63.54408168532171,1559900
2015-03-26,63.16401290893555,63.285631122708445,63.103203802049094,63.27802853457874,2342500
2015-03-27,63.2248649597168,63.308476088707515,63.18685779232845,63.2248649597168,6542300
2015-03-30,63.30083084106445,63.331235394671545,63.24762432202094,63.31603601740582,1634800
2015-03-31,63.3692626953125,63.42246923128193,63.27044641488534,63.31605615934306,1996000
2015-04-01,63.6214714050293,63.65194580376355,63.499573810092286,63.51481391565803,3132700
2015-04-02,63.53761672973633,63.6518941792063,63.514762402320834,63.64427413260363,791200
2015-04-06,63.5909423828125,63.697599780566975,63.52999363769788,63.68997973432958,1768800
